"model"	"sno"	"Year"	"Title"	"clean Title + Ontology Terms"	"uniq_project_title"	"ProjectID3"	"uniqProjectID"	"multischool_project"	"ProjectApproach"	"OnotologyTerms"	"Field"	"AppliedTo"	"AppliedValue"	"ProjectField"	"Cancer"	"AI_ML"	"InfectiousDiseases_Covid"	"Water"	"energy"	"medical"	"pollution"	"Category"	"SchoolName"	"school_id"	"school_region"	"zip"	"gender"	"grade"	"award"	"awardvalue"	"Ethnicity"	"Race"	"PerfBySchoolByYr"	"RacePercBySchoolAllYears"	"TotalStudentParticipatedAllYears"	"StudentsByYearBySchool"	"AllGender"	"AllGrade"	"AllEthnicity"	"GenderComp"	"AvgGrade"	"EthnicityComp"	"team_size"	"award_value"	"Total_awardValue"	"TotalProjectFromSchoolAllYears"	"NumberOfYearsParticipated"	"2019Score"	"2019SchoolRank"	"2018Rank"	"isCharter"	"isTitle1"	"NumStudents"	"NumTeachers"	"SpendingPerPupil"	"White%"	"Black%"	"Hispanic%"	"Asian%"	"American_Indian%"	"Pacific_Islander%"	"Two_or_more_races%"	"WhitePercInMSEF"	"BlackPercInMSEF"	"HispanicPercInMSEF"	"AsianPercInMSEF"	"SchoolDiversity"	"MSEFDiversity"	"DeviationEthnicityRep"	"clustord"	"x"	"y"	"cluster"
"x101"	101	2014	"NaCl Separation Using a Nanoporous Graphene Oxide"	"nacl separation using a nano porous graphene oxide chemical,chemical,chemical, carbon chemistry Chemistry"	1	1310	1	NA	"a"	"chemical,chemical,chemical, carbon"	"chemistry"	NA	6	"Chemistry"	0	0	0	NA	NA	NA	NA	"Chemistry"	"Advanced Math and Science Academy Charter School"	3	"Worcester Region II Science and Engineering Fair"	"x01748"	"M"	"11th"	"Third"	0.333333333333333	"SouthAsian"	"Asian"	0.916666666666667	0.785714285714286	14	4	"M_M"	"9_11"	"SouthAsian_SouthAsian"	"AllM"	10	"AllSouthAsian"	2	3	3.38333333333333	14	6	90.6	6	3	"Y"	"Y"	974	82	0	0.677	0.018	0.057	0.174	0.003	0	0.071	0	0	0	0.785714285714286	-0.43828542371058	-0.0822920611228674	0.836096367346939	371	23.495260539301	-20.8280658850097	"2"
"x1011"	1011	2016	"Radiation Randomness Redux"	"radiation randomness redux energy CompSci ComputerSci"	1	1493	2	NA	"a"	"energy"	"CompSci"	NA	2	"ComputerSci"	0	0	0	NA	NA	NA	NA	"Computer_Science"	"Mary Lyon Pilot High School"	86	"Boston Public Schools Region VI Science Fair"	"x02135"	"M"	"10th"	"noAward"	0	"Caucasian"	"White"	0	0.25	8	1	"M"	"10"	"Caucasian"	"AllM"	10	"AllWhite"	1	20	0.683333333333333	8	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	0.25	0.25	0	NA	-0.451544993495972	NA	2056	4.25382937710091	53.667284990215	"5"
"x1012"	1012	2016	"Relationship between Temperature and Conductivity"	"relationship between temperature and conductivity electric physics Physics"	1	1519	1	NA	"a"	"electric"	"physics"	NA	2	"Physics"	0	0	0	NA	NA	NA	NA	"Physics_Electronics"	"Sacred Heart High School"	126	"South Shore Region V Science Fair"	"x02364"	"M"	"10th"	"noAward"	0	"Caucasian"	"White"	0	0.714285714285714	14	7	"M"	"10"	"Caucasian"	"AllM"	10	"AllWhite"	1	20	0.7	14	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.714285714285714	0	0	0	NA	-0.104377168341599	NA	1175	8.75257277829777	28.6979058536458	"4"
"x1013"	1013	2016	"Replacing Truss Bridges to Bring Down Costs and Upgrade Strength"	"replacing truss bridges to bring down costs and upgrade strength architecture civil Engineering"	1	1524	1	NA	"m"	"architecture"	"civil"	NA	2	"Engineering"	0	0	0	NA	NA	NA	NA	"Engineering"	"Westfield High School"	166	"Western Massachusetts Region I Science Fair"	"x01085"	"F"	"10th"	"noAward"	0	"Caucasian"	"White"	0.583333333333333	0.816901408450704	142	20	"F"	"10"	"Caucasian"	"AllF"	10	"AllWhite"	1	20	16.3583333333334	142	8	43.6	228	241	"N"	"Y"	1228	100	14822	0.779	0.024	0.135	0.037	0.002	0	0.02	0.816901408450704	0.00704225352112676	0.0211267605633803	0.0422535211267606	-0.333126068230082	-0.180358685742829	0.0147187960722079	1003	9.42500704687029	31.3141153726794	"4"
"x1014"	1014	2016	"Retention of Nitrogen Fertilizer Over Time in Soil"	"retention of nitrogen fertilizer over time in soil chemical, agriculture,chemical, inorganic,earth, environment chemistry agriculture environment"	1	1531	1	NA	"a"	"chemical, agriculture,chemical, inorganic,earth, environment"	"chemistry"	"agriculture"	4	"environment"	0	0	0	NA	NA	NA	NA	"Environmental_Sciences"	"Falmouth Academy"	53	"South Shore Region V Science Fair"	"x02540"	"F"	"9th"	"noAward"	0	"Caucasian"	"White"	3.29166666666667	0.690721649484536	97	14	"F"	"9"	"Caucasian"	"AllF"	9	"AllWhite"	1	20	27.6333333333333	97	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.690721649484536	0	0	0.134020618556701	NA	-0.227973849282014	NA	439	43.3428679131972	-56.9735823055819	"2"
"x1015"	1015	2016	"Reusable Resources of Solar Power!"	"reusable resources of solar power energy,energy,environment Mechanical energy environment"	1	1532	1	NA	"a"	"energy,energy,environment"	"Mechanical"	"energy"	3	"environment"	0	0	0	NA	NA	NA	NA	"Engineering"	"Brockton High School"	26	"South Shore Region V Science Fair"	"x02301"	"F"	"11th"	"noAward"	0	"Biracial"	"Other"	0	0.0333333333333333	30	2	"F"	"11"	"Biracial"	"AllF"	11	"AllBiracial"	1	20	4.61666666666667	30	8	14.1	305	298	"N"	"N"	4032	235	15417	0.18	0.626	0.127	0.023	0.003	0.002	0.038	0.3	0.366666666666667	0.0333333333333333	0.1	-0.479827403274939	-0.46586814091395	0.0963562222222222	1030	21.1938875274953	31.3545765015027	"4"
"x1016"	1016	2016	"Robot That Extinguishes Fire with Sound Engineering"	"robot that extinguishes fire with sound engineering device, electronics, engineering,sound acoustics safety Engineering"	1	1542	1	NA	"d"	"device, electronics, engineering,sound"	"acoustics"	"safety"	4	"Engineering"	0	0	0	NA	NA	NA	NA	"Engineering"	"Quincy High School"	120	"South Shore Region V Science Fair"	"x02169"	"M"	"12th"	"noAward"	0	"Asian"	"Asian"	0	0.34375	32	6	"M_M_M"	"12_12_12"	"Asian_Asian_Asian"	"AllM"	12	"AllAsian"	3	20	3.28333333333333	32	7	51.5	200	205	"N"	"N"	1517	119	15544	0.555	0.102	0.08	0.223	0.002	0.004	0.033	0.4375	0.09375	0.0625	0.34375	-0.539999733455494	-0.488123861183576	0.028761125	1195	14.7267223396665	51.6187728215747	"4"
"x1019"	1019	2016	"Robotic Tracked Utility Vehicle"	"robotic tracked utility vehicle device, electronics, engineering,transportation mechanical transportation Engineering"	1	1544	1	NA	"d"	"device, electronics, engineering,transportation"	"mechanical"	"transportation"	3	"Engineering"	0	0	0	NA	NA	NA	NA	"Engineering"	"Lexington High School"	74	"Northeastern Massachusetts Region IV Science Fair"	"x02421"	"M"	"10th"	"noAward"	0	"Caucasian"	"White"	4.20833333333333	0.233918128654971	171	24	"F_M_M"	"10_11_11"	"Caucasian_Caucasian_Caucasian"	"Mix"	10.6666666666667	"AllWhite"	3	20	49.0583333333333	171	8	91.9	2	13	"N"	"N"	2263	177	16565	0.492	0.037	0.037	0.38	0.001	0	0.053	0.233918128654971	0.00584795321637427	0	0.590643274853801	-0.487801854054271	-0.295711048365617	0.113316291576895	938	13.7526028244766	51.4113436347113	"4"
"x1022"	1022	2016	"Salting of The Earth: Road Salt and Plant Life"	"salting of the earth road sodium chloride and plant life chemical,chemical,chemical,organism, pollute chemistry environment environment"	1	1559	1	NA	"a"	"chemical,chemical,chemical,organism, pollute"	"chemistry"	"environment"	4	"environment"	0	0	0	NA	NA	NA	NA	"Environmental_Sciences"	"Bishop Feehan High School"	17	"Rensselaer - BCC Region III Science Fair"	"x02703"	"M"	"9th"	"noAward"	0	"Caucasian"	"White"	2.33333333333333	0.657534246575342	73	10	"M"	"9"	"Caucasian"	"AllM"	9	"AllWhite"	1	20	11.8333333333334	73	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.657534246575342	0.0136986301369863	0.0684931506849315	0.123287671232877	NA	-0.337078468314062	NA	457	64.3225949320198	-113.960221706386	"2"
"x1023"	1023	2016	"Save Our Strawberries"	"save our strawberries plant,fruit, organism agriculture environment"	1	1561	1	NA	"a"	"plant,fruit, organism"	"agriculture"	NA	3	"environment"	0	0	0	NA	NA	NA	NA	"Biology"	"Berkshire Arts & Technology Charter Public School"	13	"Western Massachusetts Region I Science Fair"	"x01220"	"M"	"11th"	"noAward"	0	"Caucasian"	"White"	0	0.634146341463415	41	7	"M"	"11"	"Caucasian"	"AllM"	11	"AllWhite"	1	20	3.23333333333333	41	7	49.2	209	15	"Y"	"Y"	378	36	0	0.698	0.119	0.093	0.029	0.003	0	0.058	0.634146341463415	0.121951219512195	0.0487804878048781	0.195121951219512	-0.438810183057927	-0.439346369983519	0.0336378673408685	1572	23.4070503643124	-6.62163862623059	"3"
"x1024"	1024	2016	"Scratching the Surface: Redesigning the Figure Skate"	"scratching the surface redesigning the figure skate device, sports mechanical sports Engineering"	1	1570	1	NA	"d"	"device, sports"	"mechanical"	"sports"	3	"Engineering"	0	0	0	NA	NA	NA	NA	"Engineering"	"Martha's Vineyard Regional High School"	85	"South Shore Region V Science Fair"	"x02557"	"F"	"11th"	"noAward"	0	"Caucasian"	"White"	1.25	0.666666666666667	30	8	"F"	"11"	"Caucasian"	"AllF"	11	"AllWhite"	1	20	4.025	30	6	53.5	189	190	"N"	"Y"	642	72	33741	0.718	0.048	0.157	0.009	0.025	0.006	0.034	0.666666666666667	0.0333333333333333	0	0.0333333333333333	-0.414570950728257	-0.215868923018432	0.0280913333333333	779	11.4706094442059	42.0648864962424	"4"
"x1025"	1025	2016	"Scrub-a-dub-dub: Managing Filtration in Algal Scrubbers"	"scrub a dub dub managing filtration in algal scrubbers health, water, pure,organism,plant, microbiology,pure,pure microbiology environment environment"	1	1571	1	NA	"a"	"health, water, pure,organism,plant, microbiology,pure,pure"	"microbiology"	"environment"	7	"environment"	0	0	0	NA	NA	NA	NA	"Biochemistry"	"Berkshire Arts & Technology Charter Public School"	13	"Western Massachusetts Region I Science Fair"	"x01220"	"M"	"11th"	"noAward"	0	"African"	"Black"	0	0.121951219512195	41	7	"M"	"11"	"African"	"AllM"	11	"AllBlack"	1	20	3.23333333333333	41	7	49.2	209	15	"Y"	"Y"	378	36	0	0.698	0.119	0.093	0.029	0.003	0	0.058	0.634146341463415	0.121951219512195	0.0487804878048781	0.195121951219512	-0.438810183057927	-0.439346369983519	0.0336378673408685	283	35.1654960949599	-21.9175904033513	"6"
"x1026"	1026	2016	"Soiled Water Source: Minimizing Runoff Contamination"	"soiled water source minimizing runoff contamination earth, environment,pollute,water chemistry environment environment"	1	1610	1	NA	"a"	"earth, environment,pollute,water"	"chemistry"	"environment"	4	"environment"	0	0	0	NA	NA	NA	NA	"Environmental_Sciences"	"Seekonk High School"	127	"Rensselaer - BCC Region III Science Fair"	"x02771"	"F"	"12th"	"noAward"	0	"Caucasian"	"White"	0	0.666666666666667	3	2	"F_F"	"12_12"	"Caucasian_Caucasian"	"AllF"	12	"AllWhite"	2	20	0.15	3	2	73.3	104	148	"N"	"N"	625	46	15541	0.882	0.022	0.042	0.029	0	0	0.026	0.666666666666667	0	0	0.333333333333333	-0.228188089752624	-0.276434590943675	0.141235222222222	216	44.0287716750383	-33.6661563229658	"1"
"x1028"	1028	2016	"Space Explorer"	"space explorer explore astronomy Engineering"	1	1632	1	NA	"a"	"explore"	"astronomy"	NA	2	"Engineering"	0	0	0	NA	NA	NA	NA	"Engineering"	"Plymouth South High School"	117	"South Shore Region V Science Fair"	"x02360"	"M"	"10th"	"noAward"	0	"Caucasian"	"White"	0	1	8	1	"M"	"10"	"Caucasian"	"AllM"	10	"AllWhite"	1	20	0.833333333333333	8	6	51.8	199	218	"N"	"N"	1074	103	19978	0.91	0.014	0.024	0.011	0.003	0.001	0.037	1	0	0	0	-0.187191323595853	0	0.00899299999999999	811	8.86820147717162	31.0124325895222	"4"
"x1029"	1029	2016	"Spare a Watt, Save a Lot!"	"spare a watt, save a lot energy Mechanical energy environment"	1	65	1	NA	"a"	"energy"	"Mechanical"	"energy"	4	"environment"	0	0	0	NA	NA	NA	NA	"Engineering"	"Joseph Case High School"	71	"Rensselaer - BCC Region III Science Fair"	"x02777"	"M"	"9th"	"noAward"	0	"Caucasian"	"White"	0	0.777777777777778	9	2	"M"	"9"	"Caucasian"	"AllM"	9	"AllWhite"	1	20	0.525	9	5	62.2	152	167	"N"	"N"	536	46	14842	0.933	0.011	0.028	0.017	0.002	0	0.009	0.777777777777778	0	0	0	-0.14701680773048	-0.084890142886164	0.0252879382716049	160	16.2570278474085	23.803685025051	"1"
"x1030"	1030	2016	"Spring Speed"	"spring speed Physics Engineering"	1	1637	1	NA	"a"	NA	"Physics"	NA	2	"Engineering"	0	0	0	NA	NA	NA	NA	"Physics_Electronics"	"North Quincy High School"	107	"South Shore Region V Science Fair"	"x02171"	"M"	"9th"	"noAward"	0	"Caucasian"	"White"	0.25	0.2	55	6	"M"	"9"	"Caucasian"	"AllM"	9	"AllWhite"	1	20	6.73333333333333	55	8	65.9	136	112	"N"	"N"	1258	90	15756	0.353	0.033	0.026	0.568	0.002	0.001	0.017	0.2	0.0363636363636364	0.0363636363636364	0.618181818181818	-0.42774571559627	-0.373600892479725	0.0260459338842975	1151	8.90542920381936	31.3135012121316	"4"
"x1032"	1032	2016	"Sustainable Railway"	"sustainable railway ,transportation, energy civil environment environment"	1	1667	1	NA	"a"	",transportation, energy"	"civil"	"environment"	4	"environment"	0	0	0	NA	NA	NA	NA	"Engineering"	"Martha's Vineyard Regional High School"	85	"South Shore Region V Science Fair"	"x02557"	"M"	"11th"	"noAward"	0	"Caucasian"	"White"	1.25	0.666666666666667	30	8	"M"	"11"	"Caucasian"	"AllM"	11	"AllWhite"	1	20	4.025	30	6	53.5	189	190	"N"	"Y"	642	72	33741	0.718	0.048	0.157	0.009	0.025	0.006	0.034	0.666666666666667	0.0333333333333333	0	0.0333333333333333	-0.414570950728257	-0.215868923018432	0.0280913333333333	159	16.010199131359	22.1010836248095	"1"
"x1033"	1033	2016	"Temperature's Effect on Chemical Reactions"	"temperatures effect on chemical reactions chemical chemistry Chemistry"	1	1686	1	NA	"a"	"chemical"	"chemistry"	NA	2	"Chemistry"	0	0	0	NA	NA	NA	NA	"Chemistry"	"Berkshire Arts & Technology Charter Public School"	13	"Western Massachusetts Region I Science Fair"	"x01220"	"F"	"10th"	"noAward"	0	"Caucasian"	"White"	0	0.634146341463415	41	7	"F"	"10"	"Caucasian"	"AllF"	10	"AllWhite"	1	20	3.23333333333333	41	7	49.2	209	15	"Y"	"Y"	378	36	0	0.698	0.119	0.093	0.029	0.003	0	0.058	0.634146341463415	0.121951219512195	0.0487804878048781	0.195121951219512	-0.438810183057927	-0.439346369983519	0.0336378673408685	373	21.6179367210503	-17.1718688478187	"2"
"x1034"	1034	2016	"Tesla II"	"tesla ii device,transportation Physics transportation Engineering"	1	1687	1	NA	"d"	"device,transportation"	"Physics"	"transportation"	2	"Engineering"	0	0	0	NA	NA	NA	NA	"Physics_Electronics"	"Somerville High School"	133	"Northeastern Massachusetts Region IV Science Fair"	"x02143"	"M"	"10th"	"noAward"	0	"Caucasian"	"White"	0	0.52112676056338	71	14	"M_M"	"10_10"	"Caucasian_Caucasian"	"AllM"	10	"AllWhite"	2	20	10.35	71	8	45.4	224	243	"N"	"N"	1251	120	20459	0.325	0.126	0.456	0.072	0.001	0.001	0.018	0.52112676056338	0.0704225352112676	0.0422535211267606	0.169014084507042	-0.54718040590716	-0.417209483776027	0.222152442174172	617	10.7692213678752	38.5792900298853	"4"
"x1036"	1036	2016	"Testing Water Turbidity"	"testing water turbidity health, filter, pure,water chemistry environment"	1	1704	1	NA	"a"	"health, filter, pure,water"	"chemistry"	NA	2	"environment"	0	0	0	NA	NA	NA	NA	"Environmental_Sciences"	"Methuen High School"	92	"Northeastern Massachusetts Region IV Science Fair"	"x01844"	"F"	"10th"	"noAward"	0	"Biracial"	"Other"	0	0.0666666666666667	15	2	"F_F"	"10_11"	"Biracial_Caucasian"	"AllF"	10.5	"2"	2	20	1.31666666666667	15	5	37.3	252	254	"N"	"Y"	1982	139	12860	0.52	0.013	0.373	0.04	0.002	0.002	0.051	0.733333333333333	0	0.0666666666666667	0.133333333333333	-0.464577004848506	-0.293859873247407	0.148231333333333	287	32.438928451201	-8.62911668963172	"6"
"x1038"	1038	2016	"The Accuracy of Eyewitness Testimony"	"the accuracy of eyewitness testimony social,social, behaviour, crime social psychology BehavioralAndSocial"	1	168	1	NA	"a"	"social,social, behaviour, crime"	"social"	"psychology"	6	"BehavioralAndSocial"	0	0	0	NA	NA	NA	NA	"Behavioral_Science"	"Taunton High School"	149	"Rensselaer - BCC Region III Science Fair"	"x02780"	"F"	"9th"	"noAward"	0	"Caucasian"	"White"	0.125	0.565789473684211	76	10	"F"	"9"	"Caucasian"	"AllF"	9	"AllWhite"	1	20	8.64166666666667	76	8	28.3	273	275	"N"	"N"	2624	157	13871	0.627	0.175	0.136	0.019	0.002	0.002	0.039	0.565789473684211	0.0263157894736842	0.0263157894736842	0.197368421052632	-0.475868343765897	-0.362181713986786	0.0696996426592798	678	7.92744967956523	30.8059234236507	"4"
"x1039"	1039	2016	"The Consistency of Varying Stationary Phases in TLC"	"the consistency of varying stationary phases in tlc chromatography chemistry Chemistry"	1	1736	1	NA	"a"	"chromatography"	"chemistry"	NA	3	"Chemistry"	0	0	0	NA	NA	NA	NA	"Chemistry"	"Quincy High School"	120	"South Shore Region V Science Fair"	"x02169"	"F"	"9th"	"noAward"	0	"Asian"	"Asian"	0	0.34375	32	6	"F"	"9"	"Asian"	"AllF"	9	"AllAsian"	1	20	3.28333333333333	32	7	51.5	200	205	"N"	"N"	1517	119	15544	0.555	0.102	0.08	0.223	0.002	0.004	0.033	0.4375	0.09375	0.0625	0.34375	-0.539999733455494	-0.488123861183576	0.028761125	501	11.2933336319197	15.2783823797719	"2"
